Title,Mileage,Year,Engine,Trans,Location,Ref_No,Model_Code,Steering,Fuel,Seats,Engine_Code,Color,Drive,Doors,Final_Price
2018 HONDA SHUTTLE HYBRID,182068,2018,1490.0,AT,Yokohama,Ref No. BT654820,DAA-GP8,Right,Hybrid(Petrol),5,LEB-H1,Silver,4WD,5,2800.0
2019 HYUNDAI SONATA NEW RISE TRUBO GDI ANDROID + R.CAM,46232,2019,1998.0,AT,Korea,Ref No. BR869543,0,Left,Petrol,5,-,White,2WD,4,7300.0
2019 HYUNDAI SONATA NEW RISE NAVI + R.CAM + ANDROID,48212,2019,1998.0,AT,Korea,Ref No. BT120953,0,Left,Petrol,5,-,White,2WD,4,7250.0
2019 HYUNDAI SONATA NEW RISE SMART AUTO,45288,2019,1998.0,AT,Korea,Ref No. BT534716,0,Left,Petrol,5,-,White,2WD,4,7000.0
2009 TOYOTA HIACE VAN DX,251714,2009,1990.0,AT,Nagoya,Ref No. BT547413,CBF-TRH200K,Right,Petrol,3,1TR,White,2WD,5,4300.0
2015 TOYOTA HIACE VAN SUPER GL,129242,2015,1990.0,AT,Nagoya,Ref No. BT599822,CBF-TRH200V,Right,Petrol,2,1TR,Black,2WD,5,9290.0
2018 TOYOTA LAND CRUISER PRADO TX,104980,2018,2690.0,AT,Kyushu,Ref No. BT666050,CBA-TRJ150W,Right,Petrol,5,2TR,Black,4WD,5,23540.0
2016 TOYOTA HIACE WAGON DX,249151,2016,2690.0,AT,Kyushu,Ref No. BT698322,CBA-TRH214W,Right,Petrol,10,2TR,White,,4,9560.0
2018 TOYOTA HIACE COMMUTER SUPER LONG GL,208464,2018,2690.0,AT,Yokohama,Ref No. BT715369,CBF-TRH223B,Right,Petrol,14,2TR,Silver,,4,19890.0
2016 TOYOTA DYNA TRUCK,260519,2016,1990.0,MT,Kyushu,Ref No. BT666106,ABF-TRY220,Right,Petrol,3,1TR,Silver,2WD,2,5167.284852024922
2008 CHEVROLET TRAILBLAZER LTZ,169060,2008,4150.0,AT,Yokohama,Ref No. BT715090,ABA-T360G,Left,Petrol,5,4L,Black,4WD,5,1760.0
2019 HONDA CR-V HYBRID EX MASTERPIECE,94140,2019,1990.0,AT,Kyushu,Ref No. BT730509,6AA-RT6,Right,Hybrid(Petrol),5,LFB-H4,Black,4WD,5,13740.0
1998 DAIHATSU HIJET TRUCK SPECIAL,19467,1998,650.0,MT,Osaka,Ref No. BT772082,V-S100P,Right,Petrol,2,EF,White,,2,1590.0
2018 TOYOTA C-HR HYBRID G,147748,2018,1790.0,AT,Yokohama,Ref No. BT716278,DAA-ZYX10,Right,Hybrid(Petrol),5,2ZR-1NM,Black,2WD,5,8470.0
2014 SUBARU FORESTER X-BREAK,139354,2014,1990.0,AT,Kobe,Ref No. BT740763,DBA-SJ5,Right,Petrol,5,FB20,Blue,4WD,5,3620.0
